supplier_id,supplier_name,buyer_id,buyer_name,product_id,product_name
0,firm0,10,firm11,0,product0
0,firm0,21,firm24,2,product2
0,firm0,22,firm25,0,product0
0,firm0,27,firm33,11,product11
0,firm0,39,firm48,0,product0
0,firm0,45,firm55,11,product11
0,firm0,48,firm58,0,product0
0,firm0,64,firm78,11,product11
1,firm1,64,firm78,7,product7
2,firm2,24,firm30,7,product7
2,firm2,41,firm50,7,product7
3,firm4,1,firm1,1,product1
3,firm4,1,firm1,2,product2
3,firm4,2,firm2,1,product1
3,firm4,2,firm2,2,product2
3,firm4,3,firm4,1,product1
3,firm4,5,firm6,2,product2
3,firm4,12,firm13,1,product1
3,firm4,13,firm14,2,product2
3,firm4,17,firm19,2,product2
3,firm4,22,firm25,2,product2
3,firm4,24,firm30,14,product14
3,firm4,27,firm33,14,product14
3,firm4,32,firm40,1,product1
3,firm4,35,firm44,14,product14
3,firm4,37,firm46,14,product14
3,firm4,49,firm59,14,product14
3,firm4,52,firm64,14,product14
3,firm4,58,firm71,14,product14
3,firm4,61,firm74,14,product14
3,firm4,65,firm80,14,product14
4,firm5,0,firm0,0,product0
4,firm5,5,firm6,0,product0
4,firm5,8,firm9,1,product1
4,firm5,16,firm18,0,product0
4,firm5,16,firm18,1,product1
4,firm5,19,firm21,0,product0
4,firm5,23,firm29,2,product2
4,firm5,26,firm32,2,product2
4,firm5,26,firm32,3,product3
4,firm5,26,firm32,11,product11
4,firm5,27,firm33,1,product1
4,firm5,30,firm37,11,product11
4,firm5,31,firm39,0,product0
4,firm5,31,firm39,3,product3
4,firm5,32,firm40,0,product0
4,firm5,35,firm44,1,product1
4,firm5,40,firm49,0,product0
4,firm5,41,firm50,11,product11
4,firm5,42,firm52,0,product0
4,firm5,44,firm54,1,product1
4,firm5,45,firm55,2,product2
4,firm5,47,firm57,11,product11
4,firm5,58,firm71,11,product11
5,firm6,4,firm5,3,product3
5,firm6,67,firm83,13,product13
6,firm7,29,firm36,12,product12
6,firm7,52,firm64,12,product12
7,firm8,30,firm37,14,product14
7,firm8,42,firm52,1,product1
8,firm9,30,firm37,7,product7
8,firm9,38,firm47,7,product7
8,firm9,45,firm55,7,product7
8,firm9,53,firm66,7,product7
8,firm9,57,firm70,7,product7
8,firm9,61,firm74,7,product7
11,firm12,28,firm34,10,product10
11,firm12,56,firm69,10,product10
11,firm12,68,firm84,9,product9
14,firm16,14,firm16,4,product4
14,firm16,27,firm33,4,product4
14,firm16,35,firm44,4,product4
14,firm16,39,firm48,4,product4
14,firm16,39,firm48,5,product5
14,firm16,56,firm69,5,product5
14,firm16,57,firm70,5,product5
14,firm16,68,firm84,5,product5
15,firm17,18,firm20,4,product4
16,firm18,4,firm5,0,product0
16,firm18,5,firm6,3,product3
16,firm18,9,firm10,0,product0
16,firm18,9,firm10,3,product3
16,firm18,10,firm11,3,product3
16,firm18,13,firm14,0,product0
16,firm18,23,firm29,0,product0
16,firm18,27,firm33,0,product0
16,firm18,32,firm40,9,product9
16,firm18,35,firm44,0,product0
16,firm18,39,firm48,9,product9
16,firm18,40,firm49,3,product3
16,firm18,42,firm52,9,product9
16,firm18,44,firm54,0,product0
